Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Crop ID,Crop name,ag4a_01,ag4a_02,ag4a_04,ag4a_05,ag4a_05_other,ag4a_vs_5a,ag4a_vs_5a_day,ag4a_vs_5a_month,ag4a_vs_5a_year,ag4a_06,ag4a_08,ag4a_15,ag4a_15_unit,ag4a_16,ag4a_19,ag4a_21,ag4a_23
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ZSL3mumZ4X8,2014-08-12T00:00:00Z,M2,short_rainy,11,Maize,2,3,1,1,,2013-06-09,9.0,6.0,2013.0,1,1.0,900.0,,720000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",2tg6ar7zuS5,2015-09-13T00:00:00Z,M3,long_rainy,12,Paddy,1,,2,,,2014-01-05,5.0,1.0,2014.0,1,5.1,1250.0,1,375000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",SqBCN18ii19,2015-08-11T00:00:00Z,M1,short_rainy,87,Tomatoes,2,1,1,1,,2013-06-13,13.0,6.0,2013.0,1,0.3,80.0,1,40000.0,1,2000.0,2
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HGnHsWKAkp3,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-02-01,1.0,2.0,2013.0,2,,,,,1,15000.0,1
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",KeAxwek3yC4,2014-08-11T00:00:00Z,M1,long_rainy,12,Paddy,1,,2,,,2013-02-12,12.0,2.0,2013.0,1,1.0,1000.0,,700000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ywS4MJJe4cB,2015-08-05T00:00:00Z,M3,long_rainy,60,sugar Cane,1,,1,1,,2012-05-09,9.0,5.0,2012.0,1,1.1,80.0,1,100000.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",B7g3YrTCTUB,2014-08-16T00:00:00Z,M1,long_rainy,11,Maize,1,,1,2,,2013-02-06,6.0,2.0,2013.0,1,2.4,500.0,,150000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,M1,long_rainy,21,Cassava,1,,2,,,2013-11-03,3.0,11.0,2013.0,1,0.3,500.0,1,400000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",T5DZd2AUTX7,2015-08-14T00:00:00Z,M1,long_rainy,12,Paddy,2,3,2,,,2013-12-21,21.0,12.0,2013.0,1,1.1,200.0,1,72000.0,1,2000.0,1
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",SqBCN18ii19,2015-08-11T00:00:00Z,M1,long_rainy,11,Maize,2,3,1,1,,2013-12-20,20.0,12.0,2013.0,1,0.7,420.0,1,63000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,M3,long_rainy,16,Wheat,1,,2,,,2013-12-05,5.0,12.0,2013.0,1,3.5,960.0,,144000.0,1,32000.0,2
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,M1,long_rainy,11,Maize,2,2,2,,,2013-11-15,15.0,11.0,2013.0,1,2.0,2400.0,,400000.0,1,3000.0,2
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",BXfxdbawNd8,2015-08-29T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-11-28,28.0,11.0,2013.0,1,1.3,882.0,1,210000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,M2,long_rainy,14,Bulrush Millet,1,,1,1,,2014-01-15,15.0,1.0,2014.0,1,4.8,2700.0,,900000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,M4,short_rainy,11,Maize,,,,,,,,,,2,,,,,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",3bdaYKw2CU5,2015-09-13T00:00:00Z,M3,long_rainy,11,Maize,1,,1,2,,2013-12-20,20.0,12.0,2013.0,1,0.7,2268.0,1,540000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",5xjULrvkzz3,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-02-07,7.0,2.0,2013.0,1,0.4,80.0,,40000.0,1,2000.0,1
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",17tw28pAwD3,2015-08-29T00:00:00Z,M2,long_rainy,31,Beans,,,,,,2015-09-16,16.0,9.0,2015.0,,,,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2014-01-05,5.0,1.0,2014.0,1,0.4,300.0,1,150000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",w7mhEiauzv4,2015-08-08T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2014-12-09,9.0,12.0,2014.0,1,0.4,200.0,1,57600.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2013-12-04,4.0,12.0,2013.0,1,1.3,2700.0,,750000.0,1,60000.0,2
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",W5cRAyZKiP3,2014-08-09T00:00:00Z,M1,long_rainy,12,Paddy,1,,2,,,2013-01-02,2.0,1.0,2013.0,1,2.0,1200.0,,480000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",2tw7sF6jPB4,2015-08-31T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-12-03,3.0,12.0,2013.0,1,0.9,378.0,1,70000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",ZbDwCBkG2A5,2014-10-03T00:00:00Z,M2,long_rainy,11,Maize,1,,2,,,2013-12-21,21.0,12.0,2013.0,1,1.2,540.0,,135000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WjvUqZyb157,2015-09-13T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2014-01-02,2.0,1.0,2014.0,1,0.6,250.0,1,124000.0,2,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",wXNS3oTZiX8,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2012-11-22,22.0,11.0,2012.0,1,3.8,300.0,,150000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",hfEUg9n1AW4,2014-12-28T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-12-02,2.0,12.0,2013.0,1,1.8,1200.0,,176000.0,1,40000.0,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",uz81YWocVs7,2014-09-29T00:00:00Z,M1,long_rainy,12,Paddy,1,,2,,,2014-02-02,2.0,2.0,2014.0,1,3.4,4250.0,,2500000.0,1,7000.0,1
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,M5,long_rainy,11,Maize,1,,1,2,,2013-12-18,18.0,12.0,2013.0,1,1.1,160.0,,26000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",X9YiaEDanB7,2015-08-08T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2014-01-07,7.0,1.0,2014.0,1,0.4,200.0,1,28000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",7GEs4txMBL9,2014-08-14T00:00:00Z,M2,short_rainy,43,Groundnut,1,,2,,,2012-07-08,8.0,7.0,2012.0,2,,,,,1,9000.0,2
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BVUEfqZQ6KA,2015-09-09T00:00:00Z,M2,long_rainy,13,Sorghum,1,,1,1,,2013-12-05,5.0,12.0,2013.0,1,4.3,300.0,1,225000.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",NnrfSQy1dmA,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-01-03,3.0,1.0,2013.0,1,0.6,100.0,,45000.0,2,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",LmNxHx7ukq2,2014-08-13T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2012-11-28,28.0,11.0,2012.0,1,0.8,240.0,,144000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",utcTs5LcPQ7,2014-12-10T00:00:00Z,M3,long_rainy,11,Maize,1,,2,,,2013-12-14,14.0,12.0,2013.0,1,4.3,2880.0,,504000.0,2,,
