Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",ve5Vid3J3j2,2015-08-16T00:00:00Z,2,COWS,1,0,0,2,,,2,,,,2,,2,8,0,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,10,Chickens,6,0,,2,,,1,2,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",RnembMKrW72,2015-08-13T00:00:00Z,9,PIGS,,2,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,9,PIGS,,3,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",mjcdtjVVCA6,2016-02-06T00:00:00Z,2,COWS,12,0,0,1,2,1200000.0,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",fYfZbzp5Nv8,2016-01-07T00:00:00Z,10,CHICKENS,8,0,,1,4,55000.0,1,2,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",XBSg6BUGH3,2016-01-27T00:00:00Z,10,CHICKENS,8,0,,2,,,1,4,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3f7GFEXbaK,2015-09-07T00:00:00Z,9,PIGS,,7,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",oimuabaAoj4,2015-10-13T00:00:00Z,7,GOATS,6,,0,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",U7Y9xmtZk89,2016-07-18T00:00:00Z,10,Chickens,2,0,,2,,,1,1,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",1Mcd53U8Qb4,2015-10-22T00:00:00Z,2,COWS,1,,,1,1,400000.0,2,,,,2,,0,1,0,9
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",7yhK3asbcg8,2016-01-20T00:00:00Z,1,BULLS,1,0,0,2,,,2,,,,2,,0,0,1,9
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",TTKHU3eLS44,2016-07-15T00:00:00Z,2,Cows,4,0,0,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",qGGstvM2E46,2016-02-04T00:00:00Z,15,Dogs,1,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",p7HQJGp7P14,2016-01-07T00:00:00Z,10,CHICKENS,2,0,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,8,Sheep,2,,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",9iKLxLjVu77,2016-04-10T00:00:00Z,8,SHEEP,3,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",7yhK3asbcg8,2016-01-20T00:00:00Z,10,CHICKENS,18,0,,1,2,12000.0,1,2,0,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",D3k4R1hEUdA,2016-01-06T00:00:00Z,1,BULLS,0,0,1,2,,,2,,,,2,,0,8,2,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",hiJdT15von9,2015-11-20T00:00:00Z,16,Other,2,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GuUwLgiijo2,2015-10-16T00:00:00Z,9,PIGS,,5,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",LAqtBPvPxy,2015-10-07T00:00:00Z,7,GOATS,1,,,1,1,80000.0,1,1,0,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GuUwLgiijo2,2015-10-16T00:00:00Z,2,COWS,1,0,0,2,,,2,,,,2,,2,8,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",43ozar7mLV6,2016-01-27T00:00:00Z,10,CHICKENS,7,0,,2,,,1,2,0,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",VQjx1ubsk84,2015-09-08T00:00:00Z,7,GOATS,14,,,2,,,1,1,0,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,9,PIGS,,2,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vsXLkjJ58x2,2016-07-27T00:00:00Z,8,Sheep,5,,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",CW2n61MumoA,2016-04-03T00:00:00Z,4,HEIFERS,0,1,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",RnembMKrW72,2015-08-13T00:00:00Z,10,CHICKENS,4,,,2,,,1,2,0,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",zVWFb5eAbV7,2016-02-05T00:00:00Z,10,CHICKENS,10,0,,1,5,35000.0,1,4,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,12,RABBITS,2,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",Kq42xQGSvu4,2016-04-14T00:00:00Z,10,CHICKENS,8,0,,2,,,1,1,2,0.0,2,,0,0,0,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",QT4VeJxXHv4,2015-11-20T00:00:00Z,10,CHICKENS,8,0,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3eWkuw2PPtA,2015-10-09T00:00:00Z,2,COWS,2,0,0,2,,,2,,,,2,,0,2,0,8
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,10,CHICKENS,10,0,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GuUwLgiijo2,2015-10-16T00:00:00Z,6,FEMALE CALVES,1,0,,2,,,2,,,,2,,2,8,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,10,CHICKENS,7,,,2,,,1,3,0,,2,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",GsYbe3Kp9a3,2015-12-30T00:00:00Z,7,GOATS,1,,0,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",x3KJboY4Wn4,2016-02-03T00:00:00Z,10,CHICKENS,30,0,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",uNqoVbaZpG3,2016-01-19T00:00:00Z,1,BULLS,2,0,0,2,,,2,,,,2,,0,1,0,9
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",xJ36NSni7X2,2016-04-24T00:00:00Z,7,GOATS,1,,0,2,,,2,,,,2,,0,2,0,8
