Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",TY6c2BvPeq8,2016-07-27T00:00:00Z,2,COWS,2,,,1,1,100000.0,2,,,,2,,10,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",to8Gc5JzaT7,2015-10-08T00:00:00Z,10,CHICKENS,2,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",VDYfVRu3Q44,2016-05-18T00:00:00Z,2,COWS,1,,,2,,,2,,,,2,,10,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",bdXeZG9z586,2016-02-13T00:00:00Z,2,COWS,,,2,1,2,250000.0,2,,,,2,,2,8,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",QUACw1VqWL2,2015-11-17T00:00:00Z,8,SHEEP,3,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",XrphaE61Jh6,2016-03-04T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",yaHQ7ni6ar4,2016-10-13T00:00:00Z,10,CHICKENS,1,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",XrphaE61Jh6,2016-03-04T00:00:00Z,8,SHEEP,1,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",AvkkCXoYrg8,2016-10-16T00:00:00Z,1,BULLS,1,,,2,,,2,,,,2,,4,4,2,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",EhXFcHgzLr8,2016-08-23T00:00:00Z,10,Chickens,2,0,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",DRwp2xk3gPB,2016-07-22T00:00:00Z,7,GOATS,2,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",to8Gc5JzaT7,2015-10-08T00:00:00Z,9,PIGS,,2,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",nny1kAHD1A6,2015-10-08T00:00:00Z,2,COWS,1,,,1,2,300000.0,2,,,,2,,7,3,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",TWGYiMEN9K3,2016-12-02T00:00:00Z,9,PIGS,,2,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",29hZgxCQpf4,2016-07-12T00:00:00Z,7,GOATS,3,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",fSLig1NkSU7,2016-11-16T00:00:00Z,7,GOATS,3,,,2,,,2,,,,2,,4,6,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",iGeYWScB9G8,2016-04-26T00:00:00Z,10,CHICKENS,2,,,1,26,65000.0,1,2,0,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",8DoKMFq9rv7,2015-12-14T00:00:00Z,7,GOATS,1,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",nUikVE2njA5,2016-02-02T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",yyXhtLq72C2,2016-08-18T00:00:00Z,2,Cows,1,0,0,2,,,2,,,,2,,5,5,0,0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",mE3oDzqBqu4,2016-08-11T00:00:00Z,10,Chickens,5,0,,1,3,7500.0,1,1,0,,2,,,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",GJymWVjaQVB,2016-02-03T00:00:00Z,6,FEMALE CALVES,,1,,2,,,2,,,,2,,,10,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",EJpjhf8ixG7,2016-02-13T00:00:00Z,10,CHICKENS,4,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",QUACw1VqWL2,2015-11-17T00:00:00Z,7,GOATS,2,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",TY6c2BvPeq8,2016-07-27T00:00:00Z,10,CHICKENS,3,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",NpVRwZSF9A9,2016-05-16T00:00:00Z,1,BULLS,1,,,1,1,270000.0,2,,,,2,,8,,2,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",gvW2UAieds2,2016-01-06T00:00:00Z,2,COWS,1,,,1,1,180000.0,2,,,,2,,5,5,0,0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",VM1oxfq9wgB,2015-12-14T00:00:00Z,2,COWS,1,,,2,,,2,,,,2,,5,5,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",nMVazETomT7,2015-12-09T00:00:00Z,9,PIGS,,2,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",xRKbT2uWYL4,2016-02-04T00:00:00Z,2,COWS,,,2,2,,,2,,,,1,60000.0,3,7,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",nkB43h7a3u6,2016-04-22T00:00:00Z,2,COWS,2,,,1,1,80000.0,2,,,,1,30000.0,3,7,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",UVBzkFMeZz9,2016-07-25T00:00:00Z,10,CHICKENS,6,,,1,2,4000.0,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",yjXM15j8fo9,2016-12-10T00:00:00Z,2,COWS,2,,,2,,,2,,,,2,,2,8,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",vC1xGx4WFW,2016-08-12T00:00:00Z,10,Chickens,1,0,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",5DkfDPaXxW6,2015-11-13T00:00:00Z,2,COWS,1,,,2,,,2,,,,2,,4,6,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",DybB4C7m1V6,2016-07-22T00:00:00Z,7,GOATS,2,,,1,2,28000.0,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",Ag8CWapFXT9,2015-12-05T00:00:00Z,10,CHICKENS,4,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",ACtMM9ksKX9,2016-10-05T00:00:00Z,2,COWS,2,,,2,,,2,,,,2,,3,7,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",MsBreaQuEcA,2016-01-15T00:00:00Z,10,CHICKENS,5,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",mDLfcyhvBu,2016-01-12T00:00:00Z,7,GOATS,2,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",eVbuv11Jya9,2015-11-20T00:00:00Z,9,PIGS,,3,,1,1,21000.0,2,,,,2,,3,7,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",zxz5fHgxQr4,2016-05-26T00:00:00Z,2,COWS,2,,,2,,,2,,,,2,,8,2,,
