"","Field.ID","Field.name","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag2a_vs_2b1","ag2a_vs_2b1_other","ag2a_vs_2b2_1","ag2a_vs_2c","ag2a_vs_2c_other","ag2a_vs_2d1","ag2a_04","ag2a_07","ag2a_08","ag2a_08_other","gps_coords","ag3a_02_1","ag3a_02_2","ag3a_02_2_1","ag2a_09","ag2a_vs_08a","ag2a_vs_8b","ag2a_vs_8c"
"80","M1","Suribumum","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","v5AnXEEYcG3","2014-09-03T00:00:00Z",1,NA,"56","1",NA,"56",4,1,"","","pHZqqBKTDt2",2,1,2,4.3687,"",NA,NA
"81","M1","Nalulu","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","vyxUdnM5dv5","2014-12-15T00:00:00Z",1,NA,"11","4",NA,NA,4,1,"","","dabWASTZ9A9",2,30,1,4.4105,"",NA,NA
"82","M5","Pebramuanu 4","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z",1,NA,"21","1",NA,"21",1,2,"2","","",1,30,1,NA,"",NA,NA
"83","M2","Ayiaunu","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z",1,NA,"76","1",NA,"76",2,1,"","","4Wu9GFeDkT5",1.5,45,1,2.3853,"Bulu 2Nz",NA,NA
"84","M3","Nangbasavele 3","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","LcDR4MVNrw","2014-12-15T00:00:00Z",1,NA,"24","4",NA,NA,1,1,"","","Awk1Y2JpSe5",4,1,2,1.3328,"",NA,NA
"85","M8","Kpalani","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z",1,NA,"11","4",NA,NA,4,2,"1","","",5,45,1,NA,"",NA,NA
"86","M4","Surobom1","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z",1,NA,"56","1",NA,"56",0,1,"","","b3DWyrFgRC2",NA,60,1,1.5471,"",NA,NA
"87","M3","Efikyiri 3","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GDXUCUdQZB6","2014-09-25T00:00:00Z",1,NA,"90","4",NA,NA,1,1,"","","FsvDBXb5xS9",0.8,NA,NA,2.4168,"",NA,NA
"88","M2","Apaaso","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","znLkiipm6hB","2014-08-29T00:00:00Z",1,NA,"71","1",NA,"71",3,1,"","","uCq1tVBmCF8",1,NA,NA,1.0466,"",NA,NA
"89","M2","Sawua 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z",1,NA,"71","1",NA,"71",0,1,"","","2neFkHbUR9A",NA,95,1,0.4,"",NA,NA
"90","M3","Baa","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z",1,NA,"12","4",NA,NA,10,2,"1","","",8,3,2,NA,"",NA,NA
"91","M2","Nameyile 2","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","FcfWcnPR1A6","2015-02-16T00:00:00Z",1,NA,"14","4",NA,NA,1,1,"","","bhebcRfNJhA",NA,1,2,2.9,"Kofi 2kn",NA,NA
"92","M6","Kogyakezo 2","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z",1,NA,"56","1",NA,"56",4,2,"1","","",1.5,20,1,NA,"",NA,NA
"93","M1","Topiase 1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","W8ZrkDDq8B","2014-09-12T00:00:00Z",1,NA,"11","1",NA,"31",8,NA,"","","",NA,30,1,NA,"",NA,NA
"94","M2","Mile2-2","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z",1,NA,"21","1",NA,"21",2,1,"","","EUwvRQpDeS8",3.24,NA,NA,3.337,"",NA,NA
