Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",2GJh9RvP6U3,2014-08-12T00:00:00Z,1,,11,4,,,1,1,,,EaExL8u1EW7,0.0,0.0,1,1.6,M1-jane,410,1.0
M2,Shamba la Simba,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",a77UhCZgDh2,2014-08-11T00:00:00Z,1,,12,4,,,5,1,,,6jLerFE9LB5,2.0,1.0,2,1.5,M2-Clemence,374,1.0
M1,Shamba la siemens,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",aNYTfhJUuk9,2014-08-11T00:00:00Z,1,,12,4,,,6,1,,,PHTY2dd6z32,2.5,25.0,1,6.7,M1 Mgaya,828,1.0
M1,Chini,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BP6YrbuDcL,2015-09-13T00:00:00Z,1,,42,4,,,3,1,,,3ZvfrPgbDh4,0.6,13.0,1,2.2,M1 MASELA,366,1.0
M2,Nyumbani 2,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Vuke4bM37hA,2014-12-18T00:00:00Z,1,,60,1,,60,1,1,,,UNvRLDmNdqA,0.022,4.0,1,2.6,M2-nhahala,569,1.0
M2,Nyumbani 2,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",JADsmRVzNUA,2015-08-04T00:00:00Z,1,,11,4,,,0,1,,,frK3zMhiyV4,0.8,4.0,1,0.3,M2-mwagama,0,0.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",nZ3uwA7syq7,2014-08-12T00:00:00Z,1,,11,4,,,2,1,,,3LBbdmU6Ae8,0.0,0.0,1,3.0,M1 Paulo,571,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",Xwug52WXRu6,2015-08-11T00:00:00Z,1,,11,4,,,0,1,,,5aVNvDb7ok7,0.0,0.0,1,0.4,M1-mwagama,0,0.0
M5,Mlangwa nne chini,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",VxhDa2qgmM7,2014-09-27T00:00:00Z,4,,,4,,,2,1,,,tkjd2hrKK16,4.0,40.0,1,1.9,M5 THABIT,360,1.0
M1,Kawelela,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",hfEUg9n1AW4,2014-12-28T00:00:00Z,1,,11,4,,,1,1,,,F7U37f2yZU4,2.2,30.0,1,1.8,M1 JAMESI,389,1.0
