"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Field.name","ag10_vs_1","ag10_vs_2","ag10_vs_2_1","ag10_vs_2_2","ag10_vs_2_3","ag10_vs_2_4","ag10_vs_2_5","ag10_vs_2_6","ag10_vs_2_7","ag10_vs_2_8","ag10_vs_2_9","ag10_vs_2_50","ag10_vs_2_51","ag10_vs_2_other","ag10_vs_3","ag10_vs_3_other"
"80","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","v5AnXEEYcG3","2014-09-03T00:00:00Z","M1","Suribumum",2,"","","","",NA,"","","","","","","","",NA,""
"81","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","vyxUdnM5dv5","2014-12-15T00:00:00Z","M1","Nalulu",2,"","","","",NA,"","","","","","","","",NA,""
"82","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","M5","Pebramuanu 4",2,"","","","",NA,"","","","","","","","",NA,""
"83","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z","M2","Ayiaunu",2,"","","","",NA,"","","","","","","","",NA,""
"84","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","LcDR4MVNrw","2014-12-15T00:00:00Z","M3","Nangbasavele 3",2,"","","","",NA,"","","","","","","","",NA,""
"85","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z","M8","Kpalani",2,"","","","",NA,"","","","","","","","",NA,""
"86","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","M4","Surobom1",2,"","","","",NA,"","","","","","","","",NA,""
"87","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GDXUCUdQZB6","2014-09-25T00:00:00Z","M3","Efikyiri 3",2,"","","","",NA,"","","","","","","","",NA,""
"88","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","znLkiipm6hB","2014-08-29T00:00:00Z","M2","Apaaso",2,"","","","",NA,"","","","","","","","",NA,""
"89","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","M2","Sawua 2",2,"","","","",NA,"","","","","","","","",NA,""
