"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Livestock.code","Animal.name","ag10a_05_1","ag10a_05_2","ag10a_05_3","ag10a_19","ag10a_20","ag10a_21","ag10a_24","ag10a_25","ag10a_26","ag10a_27","ag10a_33","ag10a_34","ag10a_vs_01","ag10a_vs_02","ag10a_vs_03","ag10a_vs_04"
"73","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-09-23T00:00:00Z","8","SHEEP",3,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"74","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z","10","CHICKENS",10,NA,NA,1,4,40,1,2,0,NA,2,NA,NA,NA,NA,NA
"75","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","h7GgmuPVUH3","2014-09-08T00:00:00Z","10","CHICKENS",10,NA,NA,2,NA,NA,1,3,0,NA,2,NA,NA,NA,NA,NA
"76","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","7","GOATS",10,NA,NA,1,5,900,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"77","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","10","CHICKENS",6,0,NA,2,NA,NA,1,10,0,NA,2,NA,NA,NA,NA,NA
"78","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","sSK4YGpVFE3","2015-01-02T00:00:00Z","8","SHEEP",7,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"79","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","10a","GUINEA FOWL",17,NA,NA,2,NA,NA,1,12,0,NA,2,NA,NA,NA,NA,NA
"80","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","LcDR4MVNrw","2014-12-15T00:00:00Z","10","CHICKENS",30,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"81","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","87qeDKg8sj5","2015-02-09T00:00:00Z","7","GOATS",3,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"82","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","eze6AQDVxQ4","2014-08-27T00:00:00Z","10","CHICKENS",6,0,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"83","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","vz6UQ8NGgEA","2015-02-09T00:00:00Z","10a","GUINEA FOWL",40,NA,NA,1,27,405,1,12,0,NA,2,NA,NA,NA,NA,NA
"84","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","ArjKWQXjiQ2","2015-01-02T00:00:00Z","10","CHICKENS",6,NA,NA,1,5,25,1,1,0,NA,2,NA,NA,NA,NA,NA
"85","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","dSafpBy1bV9","2014-09-02T00:00:00Z","10","CHICKENS",7,NA,NA,2,NA,NA,1,10,0,NA,2,NA,NA,NA,NA,NA
"86","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z","7","GOATS",2,NA,NA,1,1,12,1,10,0,NA,2,NA,NA,NA,NA,NA
"87","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","9avkr7kTx68","2015-03-14T00:00:00Z","10","CHICKENS",30,NA,NA,1,6,90,1,48,0,NA,2,NA,NA,NA,NA,NA
"88","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","ev9j4bGtBTB","2014-09-02T00:00:00Z","10","CHICKENS",20,NA,NA,1,15,250,1,17,0,NA,2,NA,NA,NA,NA,NA
"89","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","TfTiB3qRvU2","2014-09-23T00:00:00Z","7","GOATS",5,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"90","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","8","SHEEP",15,NA,NA,1,3,750,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"91","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wbguRJt7c17","2014-09-02T00:00:00Z","10","CHICKENS",14,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"92","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","fkisAfkhBS2","2014-12-29T00:00:00Z","2","COWS",8,NA,NA,1,2,2400,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"93","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","2","COWS",3,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"94","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","SAvMdkgq8K4","2014-12-31T00:00:00Z","7","GOATS",2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"95","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","QNH5zfmLt2B","2014-09-09T00:00:00Z","10","CHICKENS",30,NA,NA,1,5,75,1,10,0,NA,2,NA,NA,NA,NA,NA
"96","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","10","CHICKENS",30,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"97","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","thieXHRj9r7","2014-09-09T00:00:00Z","7","GOATS",4,NA,NA,1,2,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","WgmUQnWemm7","2014-08-24T00:00:00Z","10","CHICKENS",7,0,NA,2,NA,NA,1,4,0,NA,2,NA,NA,NA,NA,NA
"99","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UNJbgF8rDE4","2014-09-25T00:00:00Z","10","CHICKENS",30,NA,NA,1,5,100,1,8,0,NA,2,NA,NA,NA,NA,NA
"100","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","W8ZrkDDq8B","2014-09-12T00:00:00Z","8","SHEEP",4,NA,NA,1,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","jVAvmnH4bS6","2015-04-15T00:00:00Z","15","Dogs",1,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
