"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"59","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","arUegScQDF9","RNQtDpCcR93",NA,NA,NA,"b1NCZnXapeA","2014-12-31","intxmu8iSK4","2014-12-31T00:00:00Z",1,2,"1419994908430.jpg",1,"1","",NA,NA
"60","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","Wth4nHzDVc8","",NA,NA,NA,"xexPKpAgiJ2","2015-01-02","jPsrT9HYaWB","2015-01-02T00:00:00Z",1,NA,"",1,"1","",NA,NA
"61","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,2,9,"L06","CTRQQXCQTVB","J5BV28uSW17",NA,NA,NA,"kNZW9z5PqgB","2014-09-13","","2014-09-13T00:00:00Z",1,2,"",NA,"","",NA,NA
"62","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","NZwEq9cA5VB","iDnmwFxpkc4",NA,NA,NA,"xexPKpAgiJ2","2014-11-29","jPsrT9HYaWB","2014-11-29T00:00:00Z",1,NA,"1417770873409.jpg",1,"2","",NA,NA
"63","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","qAcLcu8zBx5","DkApGAu6Dn5",NA,NA,NA,"GiqrBSUhcd2","2014-08-29","intxmu8iSK4","2014-08-29T00:00:00Z",1,2,"1409313463460.jpg",1,"2","",NA,NA
"64","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","ZgVCya2zX73","BEXgkj9PNi3",NA,NA,NA,"b1NCZnXapeA","2015-02-19","intxmu8iSK4","2015-02-19T00:00:00Z",1,2,"1424337371313.jpg",1,"5","",NA,NA
"65","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","w5r45534D96","Y894FuHAgPB",NA,NA,NA,"GiqrBSUhcd2","2014-09-27","intxmu8iSK4","2014-09-27T00:00:00Z",1,2,"1412009517297.jpg",2,"","",NA,NA
"66","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","MdadqCNEiL","eMD4cDkdHW8",NA,NA,NA,"b1NCZnXapeA","2014-12-31","intxmu8iSK4","2014-12-31T00:00:00Z",1,2,"1420028614127.jpg",2,"","",NA,NA
"67","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","U18xstU8LR7","rffqVbQjHu2",NA,NA,NA,"GiqrBSUhcd2","2015-05-27","jPsrT9HYaWB","2015-05-27T00:00:00Z",1,2,"1432736313188.jpg",2,"","",NA,NA
"68","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,2,9,"L06","3262VdP66d2","WzQFh76EdC8",NA,NA,NA,"kNZW9z5PqgB","2014-09-14","","2014-09-14T00:00:00Z",1,2,"",NA,"","",NA,NA
